rt,subject,trial_type,size,probe,predicted,phon_sim,probe_phon_sim
1.239990234375,64,OUT,8,V,0.5172767857142857,0.21878493227349446,0.0777510584910183
0.99652099609375,64,OUT,6,C,0.5308333333333333,0.31787206037566185,0.30084548568152264
4.61825561523438,64,IN,8,F,0.5429910714285715,0.26024161409708374,0.16901461794210412
2.38845825195312,64,IN,6,B,0.5499999999999999,0.2716495408063068,0.23944271909999157
1.17218017578125,64,OUT,6,H,0.5283928571428571,0.44218983671703455,0.04811252243246882
1.12994384765625,64,IN,8,V,0.5346875,0.19268184298809182,0.1300976575032799
0.784912109375,64,IN,6,G,0.5439285714285714,0.23566776396492925,0.16019141338792095
1.2056884765625,64,OUT,4,S,0.5297321428571429,0.15922363354357996,0.2886751345948129
1.04638671875,64,IN,4,P,0.5020535714285714,0.3569401310833123,0.0
1.04638671875,64,IN,4,F,0.5303571428571429,0.19989312285296204,0.2886751345948129
1.58462524414062,64,IN,6,V,0.5442261904761905,0.19189186800765803,0.06666666666666668
1.47671508789062,64,IN,4,C,0.528125,0.28832939165611715,0.27851638631226233
1.57656860351562,64,OUT,6,L,0.5382142857142856,0.2647518376852395,0.4587710134578462
2.09368896484375,64,IN,6,T,0.5014285714285714,0.21031336922528351,0.3244016935856293
0.855987548828125,64,OUT,4,Z,0.56375,0.20294906959865186,0.3679348951889505
0.9105224609375,64,OUT,4,L,0.5291071428571429,0.0985887038467491,0.26454972243679026
1.1474609375,64,IN,6,T,0.5294642857142857,0.2389985720026799,0.352082943070123
0.971893310546875,64,IN,4,H,0.549375,0.14433756729740646,0.09622504486493764
0.971893310546875,64,IN,4,S,0.5317857142857143,0.40505265351578107,0.5434386403648955
1.12298583984375,64,OUT,8,C,0.5401785714285714,0.37069019401025016,0.3016124285158016
1.20697021484375,64,IN,8,V,0.5079464285714286,0.2309836832603657,0.08885835256116377
0.8990478515625,64,IN,4,V,0.5225892857142858,0.19718372093245481,0.09622504486493764
1.38162231445312,64,IN,8,G,0.5310714285714286,0.1999312932626185,0.20619652471058064
0.957794189453125,64,IN,4,F,0.5333035714285714,0.14433756729740646,0.09622504486493764
0.957794189453125,64,IN,4,C,0.5449999999999999,0.3330284437399271,0.28105607338289995
0.957794189453125,64,IN,4,P,0.5228571428571429,0.25682694069731765,0.0
1.4127197265625,64,IN,6,D,0.5416666666666666,0.2849375979852423,0.44435549203790836
0.995635986328125,64,OUT,4,F,0.5129464285714286,0.3364419140885859,0.29930339887498947
0.944854736328125,64,OUT,6,Z,0.5307738095238095,0.3077240003433089,0.4248655564138279
0.944854736328125,64,OUT,6,R,0.5290476190476191,0.2026041081758553,0.28816988049951636
1.22634887695312,64,IN,8,G,0.5290625,0.24139068076004624,0.3040439051613187
1.22634887695312,64,IN,8,H,0.5288839285714286,0.29087710372156156,0.04123930494211613
1.22634887695312,64,IN,8,Z,0.5370089285714286,0.23990991150665855,0.20126822852228382
0.99029541015625,64,IN,6,L,0.5413690476190475,0.45353888351838223,0.5058038565994196
1.03604125976562,64,IN,4,G,0.5217857142857143,0.24800564528543081,0.2886751345948129
1.11392211914062,64,OUT,4,C,0.5439285714285713,0.3387937924061242,0.27851638631226233
1.11392211914062,64,OUT,4,N,0.5214285714285714,0.27442872210295505,0.3118033988749895
2.13934326171875,64,IN,8,D,0.5295535714285715,0.3337099914959913,0.523593304737658
1.105712890625,64,IN,6,C,0.5430357142857143,0.20057235851934518,0.24270813820172815
0.998748779296875,64,IN,4,G,0.5375000000000001,0.12841347034865883,0.17076064411493064
1.03176879882812,64,IN,6,P,0.5233333333333333,0.3138085610626416,0.1666666666666667
